"","title","author","path","date","response"
"1","[無雷] 星際爭霸戰－快搭上末班車體驗一下","gibyezethe","/bbs/movie/M.1370329593.A.7AC.html"," 6/04","17"
"2","[負雷] The Machinist 救贖恐懼 ","doublelll","/bbs/movie/M.1370330835.A.8E4.html"," 6/04","3"
"3","[新聞] 休傑克曼演獸性大發金鋼狼 付出不少代價","spinmmind","/bbs/movie/M.1370332177.A.2FE.html"," 6/04","11"
"4","[好雷] 末路車神 (The Place Beyond the Pines)","leila","/bbs/movie/M.1370333260.A.4AC.html"," 6/04","6"
"5","Re: [線上看片] 介紹網路上可看的紀錄片","fansss","/bbs/movie/M.1370333321.A.B3C.html"," 6/04",""
"6","[轉錄] 坎城電影節前主席：好萊塢，帶來災難","wty","/bbs/movie/M.1370335791.A.BC0.html"," 6/04","1"
"7","[請益] 《one day》片名解析","yhwilliam","/bbs/movie/M.1370339043.A.23E.html"," 6/04","17"
"8","[新聞] 5/31-6/2美國票房【玩命關頭6】蟬聯冠軍","kmovie","/bbs/movie/M.1370339837.A.351.html"," 6/04","3"
"9","[新聞] 布萊德利庫柏【末路車神】突破演技","kmovie","/bbs/movie/M.1370339975.A.279.html"," 6/04","1"
"10","[新聞] 【激愛543】鄔瑪舒曼大爆男友「性」事","kmovie","/bbs/movie/M.1370340077.A.083.html"," 6/04","2"
"11","[新聞] 坎城影展馬後砲：八卦見真相","hot5566","/bbs/movie/M.1370341088.A.B4B.html"," 6/04","1"
"12","[片單] 故事背景在19世紀末歐洲的電影","ultiwitch","/bbs/movie/M.1370342126.A.10A.html"," 6/04","10"
"13","[請益] 復仇者由星星台首播？","cvn65","/bbs/movie/M.1370343322.A.841.html"," 6/04","21"
"14","[討論]【特攻聯盟2】新國際預告(新片段~~)","tkuaaa","/bbs/movie/M.1370343950.A.79C.html"," 6/04","38"
"15","Re: [請益] 毀滅戰士(Doom)好看嗎?","RoroyaZoro","/bbs/movie/M.1370345453.A.698.html"," 6/04","4"
"16","[選片] 機密真相 悲慘世界","IMISSYOI","/bbs/movie/M.1370347058.A.CFC.html"," 6/04","19"
"17","[新聞] 第五屆兩岸電影展台中登場","iam168888888","/bbs/movie/M.1370347865.A.AC6.html"," 6/04",""
"18","[新聞] 《格雷》電影版50位男女主角候選人大特搜","Margiela","/bbs/movie/M.1370349299.A.1A5.html"," 6/04","5"
"19","[新聞] 布萊德彼特偕裘莉 現身首映會","sony577","/bbs/movie/M.1370350938.A.8BC.html"," 6/04","3"
"20","[情報]《對面的女孩殺過來》6/5特映在國北!","keariaouo","/bbs/movie/M.1370354747.A.BE5.html"," 6/04","1"
"21","[轉錄] 亞果出任務:好萊塢的一種自戀","wty","/bbs/movie/M.1370355957.A.4EC.html"," 6/04","9"
"22","[新聞] 都演超人父親 羅素克洛讚馬龍白蘭度","sampsonlu919","/bbs/movie/M.1370356813.A.FD0.html"," 6/04",""
"23","[無雷] 非常爽的出神入化!! ","chung8","/bbs/movie/M.1370358336.A.E36.html"," 6/04","11"
"24","[新聞] 電視播完戲院播 熾愛、聖經兩頭賺","sampsonlu919","/bbs/movie/M.1370358578.A.A59.html"," 6/04",""
"25","[新聞] 「希斯‧萊傑」的『小丑日記』曝光","MadMac","/bbs/movie/M.1370359002.A.F46.html"," 6/04","22"
"26","[討論] 有哪些因為預告拍的好造成熱銷的電影","jay0000","/bbs/movie/M.1370359134.A.8CE.html"," 6/04","21"
"27","[好雷] 啟動原始碼","SARODVD","/bbs/movie/M.1370360861.A.80E.html"," 6/04","10"
"28","[請益] 開戰時刻裡的台詞","firebomb","/bbs/movie/M.1370360927.A.1FE.html"," 6/04","3"
"29","[新聞] 玩命光頭出動！下半年光頭猛片特蒐","mart5301","/bbs/movie/M.1370361732.A.8C1.html"," 6/05","2"
"30","[好雷] 森林戰士 EPIC","whitefacex","/bbs/movie/M.1370366021.A.1A4.html"," 6/05","1"
"31","[片單] 諷刺警察很肉腳、無能的電影","xFANx","/bbs/movie/M.1370366786.A.C32.html"," 6/05","61"
"32","[問片] 一部電影有禁言和尚說話的橋段","suchagenius","/bbs/movie/M.1370371067.A.897.html"," 6/05","1"
"33","[好雷] 致我們終將逝去的青春  致青春 ","lomogenie","/bbs/movie/M.1370371461.A.505.html"," 6/05","2"
"34","[問片]有關時間減速的","sniperkai","/bbs/movie/M.1370371731.A.11A.html"," 6/05","2"
"35","[負雷] 出神入化，表演場面都很讚 ","LIONDODO","/bbs/movie/M.1370373390.A.F20.html"," 6/05","5"
"36","[好雷] 一一 永遠平行的兩個字","guanpinpin","/bbs/movie/M.1370373644.A.A38.html"," 6/05","7"
"37","[問片] 賽車手發生意外，醒來發現被抓到未來世界","neues","/bbs/movie/M.1370382960.A.ADE.html"," 6/05","3"
"38","[轉錄] 梁朝偉:我不需要面具 因為我有電影","wty","/bbs/movie/M.1370388250.A.73D.html"," 6/05","12"
"39","Re: [好雷] 啟動原始碼","oberon1013","/bbs/movie/M.1370392623.A.464.html"," 6/05","1"
"40","[請益] V怪客","dearyl","/bbs/movie/M.1370395203.A.A91.html"," 6/05","87"
